list-none-none,1,10,1,30,158582,5286
list-none-none,1,100,1,300,118130,393
list-none-none,1,1000,1,3000,3288901,1096
list-none-none,1,10000,1,30000,646566909,21552
list-none-none,1,20000,1,60000,3439931984,57332
list-none-none,1,1,1,3,118897,39632
list-none-none,1,10,1,30,164026,5467
list-none-none,1,100,1,300,122002,406
list-none-none,1,1000,1,3000,3537903,1179
list-none-none,2,1,1,6,147937,24656
list-none-none,4,1,1,12,200182,16681
list-none-none,4,10,1,120,179544,1496
list-none-none,8,1,1,24,313560,13065
list-none-none,12,1,1,36,511104,14197
list-i-none,1,1,1,3,119585,39861
list-d-none,1,1,1,3,111807,37269
list-l-none,1,1,1,3,112120,37373
list-id-none,1,1,1,3,107694,35898
list-il-none,1,1,1,3,165178,55059
list-dl-none,1,1,1,3,106728,35576
list-idl-none,1,1,1,3,157650,52550
list-i-none,1,2,1,6,124087,20681
list-d-none,1,2,1,6,92878,15479
list-l-none,1,2,1,6,120054,20009
list-id-none,1,2,1,6,117144,19524
list-il-none,1,2,1,6,114276,19046
list-dl-none,1,2,1,6,79806,13301
list-idl-none,1,2,1,6,114637,19106
list-i-none,1,4,1,12,133332,11111
list-d-none,1,4,1,12,171047,14253
list-l-none,1,4,1,12,129411,10784
list-id-none,1,4,1,12,120991,10082
list-il-none,1,4,1,12,87218,7268
list-dl-none,1,4,1,12,121158,10096
list-idl-none,1,4,1,12,120798,10066
list-i-none,1,8,1,24,121376,5057
list-d-none,1,8,1,24,139575,5815
list-l-none,1,8,1,24,126929,5288
list-id-none,1,8,1,24,137918,5746
list-il-none,1,8,1,24,144087,6003
list-dl-none,1,8,1,24,143077,5961
list-idl-none,1,8,1,24,141918,5913
list-i-none,1,16,1,48,241488,5031
list-d-none,1,16,1,48,197892,4122
list-l-none,1,16,1,48,204932,4269
list-id-none,1,16,1,48,192821,4017
list-il-none,1,16,1,48,248463,5176
list-dl-none,1,16,1,48,196771,4099
list-idl-none,1,16,1,48,276028,5750
list-i-none,1,32,1,96,452153,4709
list-d-none,1,32,1,96,504611,5256
list-l-none,1,32,1,96,422869,4404
list-id-none,1,32,1,96,393155,4095
list-il-none,1,32,1,96,440003,4583
list-dl-none,1,32,1,96,422206,4397
list-idl-none,1,32,1,96,402660,4194
list-i-none,2,1,1,6,123861,20643
list-d-none,2,1,1,6,123775,20629
list-l-none,2,1,1,6,135726,22621
list-id-none,2,1,1,6,121032,20172
list-il-none,2,1,1,6,140419,23403
list-dl-none,2,1,1,6,138096,23016
list-idl-none,2,1,1,6,120155,20025
list-i-none,2,2,1,12,93279,7773
list-l-none,2,2,1,12,95876,7989
list-id-none,2,2,1,12,89725,7477
list-dl-none,2,2,1,12,127774,10647
list-idl-none,2,2,1,12,139795,11649
list-i-none,2,4,1,24,192438,8018
list-d-none,2,4,1,24,190520,7938
list-l-none,2,4,1,24,137663,5735
list-id-none,2,4,1,24,147454,6143
list-il-none,2,4,1,24,151332,6305
list-dl-none,2,4,1,24,175737,7322
list-l-none,2,8,1,48,169956,3540
list-il-none,2,8,1,48,186302,3881
list-idl-none,2,16,1,96,297895,3103
list-i-none,4,1,1,12,194465,16205
list-d-none,4,1,1,12,199488,16624
list-id-none,4,1,1,12,192425,16035
list-il-none,4,1,1,12,166286,13857
list-idl-none,4,1,1,12,164298,13691
list-d-none,4,2,1,24,149321,6221
list-l-none,4,2,1,24,145784,6074
list-id-none,4,2,1,24,188548,7856
list-dl-none,4,2,1,24,149357,6223
list-l-none,4,4,1,48,212680,4430
list-id-none,4,4,1,48,202713,4223
list-il-none,4,4,1,48,193834,4038
list-idl-none,4,4,1,48,194619,4054
list-il-none,4,8,1,96,253987,2645
list-i-none,8,1,1,24,289206,12050
list-id-none,8,1,1,24,306090,12753
list-dl-none,8,1,1,24,247766,10323
list-idl-none,8,1,1,24,259914,10829
list-d-none,8,2,1,48,275985,5749
list-id-none,8,2,1,48,266082,5543
list-dl-none,8,2,1,48,231884,4830
list-dl-none,8,4,1,96,241818,2518
list-i-none,12,1,1,36,416029,11556
list-l-none,12,1,1,36,392557,10904
list-id-none,12,1,1,36,417786,11605
list-dl-none,12,1,1,36,361668,10046
list-i-none,12,2,1,72,342387,4755
list-d-none,12,2,1,72,391423,5436
list-id-none,12,2,1,72,411878,5720
list-idl-none,12,2,1,72,430364,5977
list-i-m,12,32,1,1152,26449605,22959
list-d-m,12,32,1,1152,26497299,23001
list-l-m,12,32,1,1152,18645999,16185
list-id-m,12,32,1,1152,23733438,20601
list-il-m,12,32,1,1152,19604548,17017
list-dl-m,12,32,1,1152,20265870,17591
list-idl-m,12,32,1,1152,22814392,19804
list-i-s,12,32,1,1152,45390090,39401
list-d-s,12,32,1,1152,41618034,36126
list-l-s,12,32,1,1152,33788557,29330
list-id-s,12,32,1,1152,27507793,23878
list-il-s,12,32,1,1152,31446745,27297
list-dl-s,12,32,1,1152,33246577,28859
list-idl-s,12,32,1,1152,42957310,37289
list-none-m,1,1000,1,3000,3383823,1127
list-none-s,1,1000,1,3000,3368633,1122
list-none-m,2,1000,1,6000,24535949,4089
list-none-s,2,1000,1,6000,33046946,5507
list-none-m,4,1000,1,12000,92239587,7686
list-none-s,4,1000,1,12000,130564873,10880
list-none-m,8,1000,1,24000,435627168,18151
list-none-s,8,1000,1,24000,1213689754,50570
list-none-m,12,1000,1,36000,1150969311,31971
list-none-s,12,1000,1,36000,2742770367,76188
list-none-m,16,1000,1,48000,2135956750,44499
list-none-s,16,1000,1,48000,8719500479,181656
list-none-m,24,1000,1,72000,4842891274,67262
list-none-s,24,1000,1,72000,43252771771,600732
